"NUM_OC","FECHA_CIERRE_TAREA","TIPO_SLA","ANS2","mes"
"2931021",2021-02-04 08:18:12,"SLA8","Cumple",2021-02-01
"2931023",2021-02-04 08:19:48,"SLA8","Cumple",2021-02-01
"2931027",2021-02-04 08:20:36,"SLA8","Cumple",2021-02-01
"2931434",2021-02-04 11:31:14,"SLA8","Cumple",2021-02-01
"2931469",2021-02-04 12:33:14,"SLA8","Cumple",2021-02-01
"2931502",2021-02-04 12:27:11,"SLA8","Cumple",2021-02-01
"2931518",2021-02-04 11:59:23,"SLA8","Cumple",2021-02-01
"2931539",2021-02-05 18:53:49,"SLA8","Cumple",2021-02-01
"2931566",2021-02-04 12:30:29,"SLA8","Cumple",2021-02-01
"2931605",2021-02-05 18:31:41,"SLA8","Cumple",2021-02-01
"2931606",2021-02-05 18:17:24,"SLA8","Cumple",2021-02-01
"2931618",2021-02-08 08:48:24,"SLA8","Cumple",2021-02-01
"2931676",2021-02-05 16:17:03,"SLA8","Cumple",2021-02-01
"2931763",2021-02-08 14:57:46,"SLA8","Cumple",2021-02-01
"2931816",2021-02-08 13:15:40,"SLA8","Cumple",2021-02-01
"2932158",2021-02-05 01:19:45,"SLA8","Cumple",2021-02-01
"2932869",2021-02-08 10:56:50,"SLA8","Cumple",2021-02-01
"2932954",2021-02-05 12:20:57,"SLA8","Cumple",2021-02-01
"2933005",2021-02-08 16:02:01,"SLA8","Cumple",2021-02-01
"2933073",2021-02-05 16:14:08,"SLA8","Cumple",2021-02-01
"2933758",2021-02-08 13:14:58,"SLA8","Cumple",2021-02-01
"2934934",2021-02-08 10:38:38,"SLA8","Cumple",2021-02-01
"2934975",2021-02-08 15:26:09,"SLA8","Cumple",2021-02-01
"2935070",2021-02-08 15:36:47,"SLA8","Cumple",2021-02-01
"2935119",2021-02-08 11:56:11,"SLA8","Cumple",2021-02-01
"2935140",2021-02-08 12:09:14,"SLA8","Cumple",2021-02-01
"2935289",2021-02-08 13:12:46,"SLA8","Cumple",2021-02-01
"2935354",2021-02-08 13:21:43,"SLA8","Cumple",2021-02-01
"2935363",2021-02-08 13:30:34,"SLA8","Cumple",2021-02-01
"2935404",2021-02-09 23:13:29,"SLA8","Incumple",2021-02-01
"2935432",2021-02-08 14:24:42,"SLA8","Cumple",2021-02-01
"2935436",2021-02-08 14:29:33,"SLA8","Cumple",2021-02-01
"2935499",2021-02-08 15:17:38,"SLA8","Cumple",2021-02-01
"2935636",2021-02-08 15:50:56,"SLA8","Cumple",2021-02-01
"2936626",2021-02-09 12:37:30,"SLA8","Cumple",2021-02-01
"2936647",2021-02-09 13:10:14,"SLA8","Cumple",2021-02-01
"2936659",2021-02-09 14:42:23,"SLA8","Cumple",2021-02-01
"2936669",2021-02-09 10:22:27,"SLA8","Cumple",2021-02-01
